barcode,name,initial_price,price
4620029241619,"BU PROVENCE ASTIVIJETEL",10000,16000
4620029245648,"BU PROVENCE ASTIVIJETEL",10000,16000
4607152940398,"BU PROVENCE ASTIVIJETEL",10000,16000
4660222726650,"SINFONIYA ASTIVIJITEL",12000,16000
4600171534449,"WINED POZE",12000,18000
4600171494750,"WINED POZE",12000,18000
4600171490752,"WINED POZE",12000,18000
8697418293128,GARDEN,10000,14000
4620000433590,"GLADE ASTIVIJETEL",16000,24000
4620000433637,"GLADE ASTIVIJETEL",16000,24000
4620000432944,"GLADE ASTIVIJETEL",16000,24000
8683130024188,"YUMOSH ASTIVIJITEL",36000,45000
8683130024164,"YUMOSH ASTIVIJITEL",36000,45000
8683130024171,"YUMOSH ASTIVIJITEL",36000,45000
8690637530906,"YUMOSH ASTIVIJITEL",36000,45000
4833008844668,"SA ASTIVIJETEL",28000,35000
4833008844644,"SA ASTIVIJETEL",28000,35000
4833008845825,"SA ASTIVIJETEL",28000,35000
4780023328997,"EKLER ASTIVIJETEL",12000,15000
4780023329154,"EKLER ASTIVIJETEL",12000,15000
4780023583570,"PALMERA ASTIVIJETEL",15500,17000
4780023583563,"PALMERA ASTIVIJETEL",15500,17000
4780023583556,"PALMERA ASTIVIJETEL",15500,17000
4780023583594,"PALMERA ASTIVIJETEL",15500,17000
6158506068698,"DUBBAY ASTIVIJETEL",23000,30000
8681933111463,"LORIS ASTIVIJETEL",28000,38000
8681933111043,"LORIS ASTIVIJETEL",28000,38000
8699316178163,"LORIS ASTIVIJETEL",28000,38000
8699316178156,"LORIS ASTIVIJETEL",28000,38000
8684266587653,"SHEK ASTIVIJETEL",78000,105000
8683181980136,"SHEK ASTIVIJETEL",78000,105000
8683181983090,"SHEK ASTIVIJETEL",78000,105000
8683181983168,"SHEK ASTIVIJETEL",78000,105000
8683181983144,"SHEK ASTIVIJETEL",78000,105000
8683181981966,"SHEK ASTIVIJETEL",78000,105000
8681655408650,"INFINITE ASTIVIJETEL",46000,55000
8681655408490,"INFINITE ASTIVIJETEL",46000,55000
8681655408643,"INFINITE ASTIVIJETEL",46000,55000
8681655408476,"INFINITE ASTIVIJETEL",46000,55000
8681655408483,"INFINITE ASTIVIJETEL",46000,55000
8681655407981,"INFINITE ASTIVIJETEL",46000,55000
8699444268033,"OZON ASTIVEJETEL",28000,38000
8682665349247,"MOUNCA ASTIVIJETEL",26000,38000
8682665344105,"MOUNCA ASTIVIJETEL",26000,38000
8682665349223,"MOUNCA ASTIVIJETEL",26000,38000
8682665349230,"MOUNCA ASTIVIJETEL",26000,38000
8682665344020,"MOUNCA ASTIVIJETEL",26000,38000
8682665343962,"MOUNCA ASTIVIJETEL",26000,38000
8682665349254,"MOUNCA ASTIVIJETEL",26000,38000
4780109910085,"SUV PONPA",10200,15000
6923627379271,"SUV BAKAKL",26000,32000
4005900840608,"NEVEYA SHARIK",27000,30000
4005808837359,"NEVEYA SHARIK",27000,30000
4005808884247,"NEVEYA SHARIK",27000,30000
4005808741731,"NEVEYA SHARIK",27000,30000
4005900034519,"NEVEYA SHARIK",27000,30000
4005900730053,"NEVEYA SHARIK",27000,30000
8999777004484,"NEVEYA SHARIK",19000,30000
4005900634290,"NEVEYA SHARIK",27000,30000
4005900730084,"NEVEYA SHARIK",27000,30000
8999777007355,"NEVEYA SHARIK",19000,30000
4005900036131,"NEVEYA SHARIK",27000,30000
6944348551968,"ROLIK LOVE",23000,40000
8006540452301,"SEKRET ",38000,42000
30056640,"REXONA ",23500,27000
46274885,"REXONA ",23500,27000
46274922,"REXONA ",23500,27000
4005900923554,"NIVEYA STIK",29000,32000
4005800306945,"NIVEYA STIK",29000,32000
42429685,"NIVEYA STIK",29000,32000
4005900923431,"NIVEYA STIK",29000,32000
4005900909251,"NIVEYA STIK MURSKOY",29000,35000
4005900919335,"NIVEYA STIK MURSKOY",29000,35000
5900017092393,"NIVEYA STIK MURSKOY",29000,35000
4005900919212,"NIVEYA STIK MURSKOY",29000,35000
5000174003451,OLDSPISE,28500,35000
4015600862640,OLDSPISE,28500,35000
8006540442159,OLDSPISE,28500,35000
8006540424612,OLDSPISE,28500,35000
4084500019195,OLDSPISE,28500,35000
8006540442364,OLDSPISE,28500,35000
4084500488274,OLDSPISE,28500,35000
8001841858432,OLDSPISE,28500,35000
4084500490581,OLDSPISE,28500,35000
7702018914333,"JELET ",45000,55000
7702018914036,"JELET  GEL",45000,55000
7702018913374,"JELET  GEL",45000,55000
3014260269142,"JELET  STIK",65000,110000
73103714,"REXONA  STIK",24500,28000
59086598,"AKS STIK",24500,35000
5013965676604,"XELIR SHOLDERS",35500,40000
5907582908418,"BIBI DREM SHAMPON",25000,33000
3574669909594,"JONSIN YOG' 200GR",28000,37000
4650092452148,"MINIONE SHAMPON GEL",29500,37000
4690494024826,"MINIONE SHAMPON",29500,37000
6262825803943,"AKTIVE SHAMPON",18000,29000
6262825803899,"AKTIVE SHAmpon banan",18000,29000
4780054330174,"Aqua marin 300gr",33000,40000
4780138740028,"Bavi 300gr",32900,36000
8698623900276,"SHOV PADO'J GEL",11500,18000
6971764156439,"DR.RASHEL SHAMPON KO'K",35000,47000
6971764156309,"DR.RASHEL SHAMPON ",35000,47000
8008970055855,"VASH GO",17000,26000
8008970055879,"VASH GO KOTTA",25000,35000
3574661627021,"JONSIN 500GR",35000,47000
3574669907675,"JONSIN 300 GR",25000,36000
6262825815342,"AKTIVE 2-1",15000,28000
4640130795016,MIRAKO,35000,46000
8412428026173,"DISPNEY SHAMPON",36000,47000
4627087920357,"UMKA GEL.KONDIDSANER",65000,76000
4601313016731,"ZAYKA MAYA SHAMPON KONDIDSONER",28000,34000
4601313016748,"ZAYKA MAYA SHAMPON",19000,29000
4601313016717,"ZAYKA MAYA SUYUQ SOVUN",19000,25000
8001841134260,"TIDE AFTAMAT GEL 2.5",121600,140000
5907582902973,"BIBI DREM SHAMPON GEL.KUPANYA",19000,27000
3574661649085,"JONSIN SHAMPON 200GR",19200,25000
4752171016170,"VATASHA SHAMPON 2B1",33000,42000
4670204602612,"UMKA SHAMPON",40000,52000
4670033920956,"UMKA OTBELIVATEL",35000,42000
4670033925166,"UMKS PARASHO'Y AFTAMAT 400GR",20000,27000
8991111101316,"JONSIN YOG' 50GR",13500,16000
8991111101323,"JONSIN YOG' 125GR",23500,30000
758090,"JONSIN YOG' 200GR",32000,42000
4640130790882,"PIRINSESSA SHAMPON",25000,33000
6971764156330,"DR.RASHEL YOG'",30000,40000
4604049095636,"AOS GEL",14000,17000
4897110030180,"KARSEL BALZAM",38000,48000
8690637712135,"YUMOSH KANDIDSANER",52000,55000
8690637712111,"YUMOSH KANDIDSANER",52000,55000
8683130013694,"YUMOSH KANDIDSANER",52000,55000
8690637712302,"YUMOSH KANDIDSANER",52000,55000
8683130064931,"YUMOSH KANDIDSANER",55000,60000
8683130095454,"YUMOSH KANDIDSANER",55000,60000
8683130038864,"YUMOSH KANDIDSANER",55000,60000
8699316178620,"LORIS ASTIVIJETEL",28000,38000
8681933111470,"LORIS ASTIVIJETEL",28000,38000
8681933108098,"LORIS ASTIVIJETEL",28000,38000
8699316178132,"LORIS ASTIVIJETEL",28000,38000
037000096153,"SEKRET KLINIK",115000,125000
1569718067853,"APREL 900G",103500,108000
4704700255666,"MARTA 900G",92500,98000
4966836580580,"NIXOL 900",83000,85000
5776991242334,"NIXOL 1.8",87000,94000
4444716606556,"APREL 1.8",122500,130000
0868834371709,"APREL 3K",124000,130000
1551320797488,"MARTA 3KG",116000,122000
8681189458619,"MARTA 250G",62000,72000
8801038602608,"TITAN LEZVA",38000,45000
3274870802034,"SHANEL TANALKA",23000,45000
3789678915546,"INISTIRIKSION ATRN 100ML",43000,50000
3454090000018,"DOLLIR ATR 100ML",43000,50000
3454090000025,"KASANOSTRA ATR 100ML",44000,50000
8681982212333,"SEVAVEREK JENISKI 50ML",255000,285000
8684730090863,"SEVAVEREK IMJINESHINI 50ML",255000,285000
8684266586601,"MASKOW 30ML",125000,145000
8684266584850,"MASKOW 25ML",110000,130000
3454090001558,"ONE ATR",43000,50000
4606144005374,"KOLGET DETISKI ",14300,18000
8021515000318,"RIKA VOSK",84000,105000
4601236001098,"RAPIRA JILET",7000,12000
8809809800147,"TONE KAREYA",60000,75000
4601313024552,"ABSALYUT DEDISKI PASTA",11200,16000
4601313024545,"ABSALYUT DEDISKI PASTA",11200,16000
3830029297184,PARADONTAX,23000,29000
4813406012111,"PIN PASIYON FERAMON",65000,75000
4813406012104,"PINK  PASION",66000,72000
4813406011954,"PINK PASION",66000,72000
4005900554116,"NEVEA SUV",42000,60000
4605319014753,"PURE NATURE SUV",25000,30000
4780021893350,"RAYAN KASMETIK SHANOUN",20000,25000
4780021893336,"RAYON KASMETIK ",20000,25000
4780021893343,"RAYAN KASMETIK",20000,25000
4780021893329,"RAYAN KASMETIK",20000,25000
4605922033745,"REXINA 2/1 SHANPUN GELDUSH",17000,22000
4780061460130,"EKO STERECH 200M",13000,20000
4780066790355,"MULTI PALK 200M",37000,40000
4780066790133,"MULTI PAK 50",17000,22000
6921074901755,"DEPLATOR SPREY",17000,25000
4897066839752,"DEPLATOR SPREY GOLD",20000,35000
4630040773303,"UDALIT MAKYAJ",20000,35000
6971072790769,"DLYA DEPILYATSA  SPRE OLDINGI",12000,18000
4780023327099,"LASION BODRIN",15000,20000
4605319010922,"LASIYON TONIK",25000,35000
4605922007531,"REXONA  200ML",22000,30000
4605922006640,"REXONA JENISKI 200G",22000,30000
6932511212952,"ULITKA KREM",17000,25000
4780023327082,"EKLER BALZAM",16000,25000
